C,rho,l0,lmax,J,n,seed,steps,seconds,valid,unique,valid_novel,viol,novel_rate,qed,run_name
0.0100503,0.6,3.1,12.0,2,4,6,64,839,67,67,60,0.10447761194029848,0.8955223880597015,0.48505238983036264,adual_iltd_C0.0100503_rho0.6_l03.1_lmax12.0_J2_n4_seed6_steps64
0.0100503,0.6,3.1,12.0,2,4,8,64,827,65,65,63,0.03076923076923077,0.9692307692307692,0.4881940693447666,adual_iltd_C0.0100503_rho0.6_l03.1_lmax12.0_J2_n4_seed8_steps64
0.0100503,0.6,3.15,12.0,2,4,2,64,835,61,61,56,0.08196721311475408,0.9180327868852459,0.49662611353827174,adual_iltd_C0.0100503_rho0.6_l03.15_lmax12.0_J2_n4_seed2_steps64
0.0100503,0.8,3.0,12.0,2,4,1,64,837,75,75,72,0.040000000000000036,0.96,0.4817545375303648,adual_iltd_C0.0100503_rho0.8_l03.0_lmax12.0_J2_n4_seed1_steps64
0.0100503,1.0,3.0,12.0,2,4,1,64,839,73,73,70,0.04109589041095896,0.958904109589041,0.4784332028065083,adual_iltd_C0.0100503_rho1.0_l03.0_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.6,3.15,12.0,2,4,4,64,836,56,56,53,0.0535714285714286,0.9464285714285714,0.4940057762337084,adual_iltd_C0.0100503_rho0.6_l03.15_lmax12.0_J2_n4_seed4_steps64
0.0100503,0.6,3.15,12.0,2,4,3,64,839,51,51,49,0.039215686274509776,0.9607843137254902,0.4837933556396924,adual_iltd_C0.0100503_rho0.6_l03.15_lmax12.0_J2_n4_seed3_steps64
0.0100503,0.6,3.05,12.0,2,4,2,64,849,67,67,62,0.07462686567164178,0.9253731343283582,0.4934505678460233,adual_iltd_C0.0100503_rho0.6_l03.05_lmax12.0_J2_n4_seed2_steps64
0.0100503,0.6,3.05,12.0,2,4,3,64,849,64,64,62,0.03125,0.96875,0.4814061455809712,adual_iltd_C0.0100503_rho0.6_l03.05_lmax12.0_J2_n4_seed3_steps64
0.0100503,0.6,3.15,12.0,2,4,6,64,832,72,72,65,0.09722222222222221,0.9027777777777778,0.4942548065821882,adual_iltd_C0.0100503_rho0.6_l03.15_lmax12.0_J2_n4_seed6_steps64
0.0100503,0.6,3.15,12.0,2,4,5,64,832,61,61,58,0.049180327868852514,0.9508196721311475,0.4842998717635138,adual_iltd_C0.0100503_rho0.6_l03.15_lmax12.0_J2_n4_seed5_steps64
0.0100503,0.6,3.15,12.0,2,4,8,64,834,65,65,63,0.03076923076923077,0.9692307692307692,0.4751345047922222,adual_iltd_C0.0100503_rho0.6_l03.15_lmax12.0_J2_n4_seed8_steps64
0.0100503,0.6,3.15,12.0,2,4,7,64,840,62,62,58,0.06451612903225812,0.9354838709677419,0.45901682677400707,adual_iltd_C0.0100503_rho0.6_l03.15_lmax12.0_J2_n4_seed7_steps64
0.0100503,0.6,3.05,12.0,2,4,5,64,837,66,66,64,0.030303030303030276,0.9696969696969697,0.4691671373226295,adual_iltd_C0.0100503_rho0.6_l03.05_lmax12.0_J2_n4_seed5_steps64
